"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-07-22","81.3","-2.41","5.22","Devers, Rafael",646240,607625,"walk","ball",,,,,11,"Rafael Devers walks.","R","L","R","KC","SF","B",,,3,2,2026,"1.4","0.13",-0.39643126575821563,3.586839577534271,,,,1,7,"Top",,,,,,,1.7130699481296772,-118.35103498282425,2.8319345348562575,12.859996828626315,22.77486261937878,-31.75604635368399,3.217372047,1.623720472,,,,"80.4",2936,"5.7",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.81",,0.698289,"0.7",1,0,0,,42,6,"Sweeper",0,1,1,0,1,0,1,0,"Infield shade","Standard",64,"-0.022","0.338",,,,,"-0.338",,-1,1,0.328,0.6719999999999999,36,29,37,30,3,2,5,1,,,"3.32","-1.4","1.4","25.2",,,,,
"SL","2026-07-22","84.4","-1.89","5.56","Devers, Rafael",646240,607625,,"ball",,,,,13,,"R","L","R","KC","SF","B",,,2,2,2026,"0.64","-0.06",-1.1291843875334164,1.4336335866666516,,,,1,7,"Top",,,,,,,0.4512814680411719,-123.02168780384469,-2.992859179236821,6.554325585244974,20.228776319863474,-32.44853230375775,3.217372047,1.623720472,,,,"83.9",2848,"5.5",824083,695600,686469,686681,668942,623205,686555,657041,516782,"55",,,,,,,,42,5,"Slider",0,1,1,0,1,0,1,0,"Infield shade","Standard",75,"-0.007","0.112",,,,,"-0.112",,-1,1,0.335,0.665,36,29,37,30,3,2,5,1,,,"3.2","-0.64","0.64","31.9",,,,,
"CH","2026-07-22","83.9","-1.89","5.31","Devers, Rafael",646240,607625,,"swinging_strike",,,,,2,,"R","L","R","KC","SF","S",,,2,1,2026,"-0.63","0.29",0.24531769301796835,2.7987749734978395,,,,1,7,"Top",,,,,,,6.103831358353727,-122.21733992901716,0.111257026599893,-7.409877631802327,21.229697121969544,-29.470275366770156,3.217372047,1.623720472,,,,"84",1444,"6",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.49",,,,,,,,42,4,"Changeup",0,1,1,0,1,0,1,0,"Infield shade","Standard",238,"0.006","-0.076","76.0","7.4","0.828508812",,"0.076",,-1,1,0.329,0.671,36,29,37,30,3,2,5,1,,,"2.91","0.63","-0.63","26.2",11.898452919924239,6.5356213845019475,33.26801489347438,33.12145244359874,26.84064567356275
"FC","2026-07-22","87.8","-2.15","5.59","Devers, Rafael",646240,607625,,"ball",,,,,11,,"R","L","R","KC","SF","B",,,1,1,2026,"0.17","0.78",-1.360173709172541,4.814364555811796,,,,1,7,"Top",,,,,,,1.5313329413992078,-128.07402205759894,2.5740880919126266,1.5785399806425278,22.153789793803853,-24.080036480265203,3.217372047,1.623720472,,,,"87.9",2182,"5.9",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.65",,,,,,,,42,3,"Cutter",0,1,1,0,1,0,1,0,"Infield shade","Standard",198,"-0.004","0.057",,,,,"-0.057",,-1,1,0.333,0.667,36,29,37,30,3,2,5,1,,,"2.12","-0.17","0.17","27.7",,,,,
"SL","2026-07-22","85.4","-2.07","5.45","Devers, Rafael",646240,607625,,"foul",,,,,9,,"R","L","R","KC","SF","S",,,1,0,2026,"0.3","0.16",0.3481442253965501,1.8091526740453943,,,,1,7,"Top",,,,,,,4.939988782939189,-124.4121127527249,-2.453892541922401,2.3148139922420055,21.655478277499896,-30.296388674441065,3.217372047,1.623720472,117,"70.3",18,"85",2578,"5.7",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.84",,,,,,,,42,2,"Slider",0,1,1,0,1,0,1,0,"Infield shade","Standard",131,"0.004","-0.05","74.9","7.5",,,"0.05","88.0",-1,1,0.329,0.671,36,29,37,30,3,2,5,1,,,"2.93","-0.3","0.3","27.7",2.982994447860538,12.248457178390082,42.26359362669336,29.168144949780196,24.323787536968386
"CH","2026-07-22","86.1","-1.92","5.29","Devers, Rafael",646240,607625,,"ball",,,,,14,,"R","L","R","KC","SF","B",,,0,0,2026,"-1.47","0.18",1.063360011488001,1.1550207284939855,,,,1,7,"Top",,,,,,,9.923689021077848,-125.07092826580121,-3.7197362973254418,-17.41090779283609,23.323088321695685,-29.74592819911086,3.217372047,1.623720472,,,,"85.5",1888,"5.8",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.65",,,,,,,,42,1,"Changeup",0,1,1,0,1,0,1,0,"Infield shade","Standard",256,"-0.003","0.043",,,,,"-0.043",,-1,1,0.332,0.6679999999999999,36,29,37,30,3,2,5,1,,,"2.89","1.47","-1.47","22.0",,,,,
"CH","2026-07-22","84","-1.99","5.4","Devers, Rafael",646240,607625,"field_out","hit_into_play",,,,,2,"Rafael Devers grounds out to first baseman Vinnie Pasquantino.","R","L","R","KC","SF","X",3,"ground_ball",2,0,2026,"-1.36","0",0.20275171713378892,2.740115216183081,,,,0,5,"Top",160.63,166.28,,,,,7.6644483861942865,-122.07920554384684,0.4051992666750497,-15.06530587978072,23.108121275432467,-32.46335049820283,3.217372047,1.623720472,19,"95.1",-7,"83.3",1716,"5.8",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.71",0.241,0.217,"0",1,0,0,2,26,3,"Changeup",0,0,0,0,0,0,0,0,"Infield shade","Standard",249,"0.044","-0.393","75.6","7.5",,0.257,"0.393","95.1",0,0,0.486,0.514,36,29,37,30,2,1,5,1,,,"3.23","1.36","-1.36","30.4",22.318842046028898,-8.59002729636227,31.65572477520264,30.62734938387237,39.782309349249644
"SI","2026-07-22","89.4","-2.03","5.21","Devers, Rafael",646240,607625,,"ball",,,,,11,,"R","L","R","KC","SF","B",,,1,0,2026,"-1.31","0.25",-0.8879584456683653,3.95035452224997,,,,0,5,"Top",,,,,,,5.536679054448881,-130.02117280375526,2.513953525445997,-16.072211959018706,28.29630654425752,-30.12987119597737,3.217372047,1.623720472,,,,"88.3",2298,"5.7",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.78",,,,,,,,26,2,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",223,"-0.009","0.084",,,,,"-0.084",,0,0,0.495,0.505,36,29,37,30,2,1,5,1,,,"2.61","1.31","-1.31","20.7",,,,,
"CH","2026-07-22","87.3","-2.21","4.99","Devers, Rafael",646240,607625,,"ball",,,,,11,,"R","L","R","KC","SF","B",,,0,0,2026,"-1.35","0.36",-1.312447348259768,2.460265639316239,,,,0,5,"Top",,,,,,,4.890802884373201,-127.0434181580926,-0.4961794876537823,-15.61040708639621,26.09284006488038,-28.39052308272462,3.217372047,1.623720472,,,,"86.3",2236,"5.6",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.87",,,,,,,,26,1,"Changeup",0,0,0,0,0,0,0,0,"Infield shade","Standard",237,"-0.005","0.044",,,,,"-0.044",,0,0,0.5,0.5,36,29,37,30,2,1,5,1,,,"2.63","1.35","-1.35","16.4",,,,,
"FC","2026-07-22","91.7","-2.01","5.58","Devers, Rafael",646240,607625,"double","hit_into_play",,,,,4,"Rafael Devers doubles (26) on a ground ball to center fielder Lane Thomas.","R","L","R","KC","SF","X",8,"ground_ball",0,2,2026,"-0.08","0.85",-0.4001416163677942,2.59213792205248,,,,0,2,"Top",148.03,101.02,,,,,4.167001199392451,-133.6234257384316,-3.445679876895219,-1.7234491037023654,23.417137020534334,-21.442800894113297,3.217372047,1.623720472,128,"110.5",6,"91.7",2377,"5.8",824083,695600,686469,686681,668942,623205,686555,657041,516782,"54.68",0.706,0.684,"1.25",1,1,1,4,7,4,"Cutter",0,0,0,0,0,0,0,0,"Infield shade","Standard",212,"-0.072","0.827","75.0","7.5",,0.848,"-0.827","110.5",0,0,0.509,0.491,36,29,37,30,1,0,5,1,,,"1.82","0.08","-0.08","29.5",12.73583108835141,10.088366463166444,26.977884350687212,36.34630612845096,31.57937593852365
